City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,0.05,68,20,4.63,CA,1741487033
83,okhotsk,59.3833,143.3,-19.12,67,1,8.0,RU,1741487034
84,bechar,31.6167,-2.2167,15.18,41,3,3.09,DZ,1741486806
85,albany,42.6001,-73.9662,-1.25,63,41,3.13,US,1741486743
86,utrik,11.2278,169.8474,26.7,78,39,10.75,MH,1741487037
87,alice springs,-23.7,133.8833,38.75,10,70,6.17,AU,1741487039
88,loshnitsa,54.2789,28.7639,3.91,74,95,0.89,BY,1741486931
89,bodo,67.28,14.405,3.02,69,40,6.17,NO,1741487041
90,badger,64.8,-147.5333,-1.86,62,100,1.54,US,1741487042
91,vladimirovac,45.0331,20.8639,10.09,40,91,5.52,RS,1741487043
92,pisco,-13.7,-76.2167,22.03,78,0,5.14,PE,1741487044
93,udachny,66.4167,112.4,-31.85,95,68,1.05,RU,1741487045
94,qaqortoq,60.7167,-46.0333,0.64,87,100,6.09,GL,1741487046
95,ivins,37.1686,-113.6794,13.62,25,0,1.79,US,1741487048
96,antonio enes,-16.2325,39.9086,26.37,88,100,5.02,MZ,1741487049
97,taoudenni,22.6783,-3.9836,25.01,28,0,3.35,ML,1741487050
98,fortuna,40.5982,-124.1573,10.52,76,0,3.6,US,1741487051
99,prince george,53.9166,-122.753,2.57,96,100,2.06,CA,1741487052
100,hat yai,7.0084,100.4767,28.1,78,75,1.54,TH,1741487053
101,san luis de la loma,17.2706,-100.8939,24.36,80,4,2.2,MX,1741487055
102,port alfred,-33.5906,26.891,24.7,81,68,3.22,ZA,1741487057
103,rabo de peixe,37.8,-25.5833,12.73,76,40,7.2,PT,1741487058
104,constantia,44.1833,28.65,3.38,67,100,4.1,RO,1741487059
105,port mathurin,-19.6833,63.4167,27.31,75,11,6.3,MU,1741487060
106,bengkulu,-3.8004,102.2655,25.78,84,100,1.22,ID,1741487061
107,yakutsk,62.0339,129.7331,-22.02,71,40,3.0,RU,1741487062
108,kapa'a,22.0752,-159.319,26.18,73,20,7.72,US,1741487063
109,callaway,30.153,-85.5699,19.41,96,100,3.09,US,1741487064
110,kolonia,50.9333,6.95,7.2,67,0,2.06,DE,1741487065
111,eyl,7.9803,49.8164,24.73,89,100,3.2,SO,1741487067
112,skowhegan,44.7651,-69.7192,-3.08,66,100,6.98,US,1741487068
113,bulancak,40.9372,38.2291,2.9,100,0,1.03,TR,1741487069
114,karasuk,53.7377,78.0403,-11.94,96,100,4.41,RU,1741487070
115,jamestown,42.097,-79.2353,-4.99,84,0,4.12,US,1741487071
116,bandar,2.05,99.75,25.42,91,100,1.52,ID,1741487072
117,linxia chengguanzhen,35.6003,103.2064,4.49,50,2,0.98,CN,1741487073
118,lensk,60.7253,114.9278,-23.25,93,89,2.27,RU,1741487074
119,rocha,-34.4833,-54.3333,19.35,69,100,5.69,UY,1741486814
120,stutterheim,-32.5708,27.424,20.53,80,7,2.94,ZA,1741487077
121,isangel,-19.55,169.2667,28.06,74,75,1.03,VU,1741487078
122,ust-nera,64.5667,143.2,-26.51,89,98,0.94,RU,1741487079
123,polyarnyy,69.1989,33.4478,-3.22,82,100,1.92,RU,1741487080
124,okakarara,-20.5833,17.4333,19.47,74,98,0.67,NA,1741487081
125,longyearbyen,78.2186,15.6401,-12.09,79,20,4.63,SJ,1741487082
